date,nav,return_1y,return_3y,return_5y,daily_return,risk_1y
2011-09-14,10.9652,8.43,,,0.020979850222113683,0.02
2011-09-15,10.9675,8.43,,,0.02097544960419917,0.02
2011-09-16,10.9697,8.44,,,0.02005926601322816,0.02
2011-09-19,10.9766,8.48,,,0.0629005351103551,0.02
2011-09-20,10.9789,8.45,,,0.02095366506933427,0.02
2011-09-21,10.9812,8.45,,,0.02094927542832803,0.02
2011-09-22,10.9836,8.46,,,0.021855534914205776,0.02
2011-09-23,10.9857,8.46,,,0.019119414399648704,0.02
2011-09-26,10.9922,8.44,,,0.05916782726635983,0.02
2011-09-27,10.9944,8.44,,,0.02001419188151221,0.02
2011-09-28,10.9969,8.45,,,0.022738848868519845,0.02
2011-09-29,11.0024,8.49,,,0.05001409488127884,0.02
2011-10-03,11.012,8.56,,,0.08725369010398332,0.02
2011-10-04,11.0146,8.53,,,0.023610606610957596,0.02
2011-10-05,11.0173,8.54,,,0.024512919216324036,0.02
2011-10-07,11.0226,8.57,,,0.04810616031150072,0.02
2011-10-10,11.0302,8.62,,,0.06894924972329353,0.02
2011-10-11,11.0329,8.63,,,0.024478250621018383,0.02
2011-10-12,11.0356,8.6,,,0.024472260239827293,0.02
2011-10-13,11.0383,8.61,,,0.024466272789869237,0.02
2011-10-14,11.041,8.61,,,0.02446028826903479,0.02
2011-10-17,11.049,8.65,,,0.07245720496331653,0.02
2011-10-18,11.0517,8.61,,,0.024436600597343983,0.02
2011-10-19,11.0544,8.62,,,0.02443063058170658,0.02
2011-10-20,11.0571,8.62,,,0.024424663482425224,0.02
2011-10-21,11.0597,8.63,,,0.023514303027005745,0.02
2011-10-24,11.0678,8.69,,,0.07323887628054582,0.02
2011-10-25,11.0704,8.65,,,0.023491570140410367,0.02
2011-10-28,11.0786,8.71,,,0.07407139760080561,0.02
2011-10-31,11.0879,8.78,,,0.08394562489844049,0.02
2011-11-01,11.0907,8.78,,,0.02525275300102603,0.02
2011-11-02,11.0935,8.79,,,0.02524637759564463,0.02
2011-11-03,11.0963,8.75,,,0.025240005408555533,0.02
2011-11-04,11.0991,8.76,,,0.025233636437382856,0.02
2011-11-08,11.1104,8.85,,,0.10181005667126986,0.02
2011-11-09,11.1132,8.85,,,0.02520161290322509,0.02
2011-11-11,11.1188,8.89,,,0.05039052658100118,0.02
2011-11-14,11.1271,8.91,,,0.07464834334640624,0.02
2011-11-15,11.1299,8.92,,,0.025163789307169893,0.02
2011-11-16,11.1327,8.92,,,0.02515745873727937,0.02
2011-11-17,11.1355,8.93,,,0.02515113135179714,0.02
2011-11-18,11.1383,8.94,,,0.025144807148302917,0.02
2011-11-21,11.1467,8.95,,,0.07541545837335129,0.02
2011-11-22,11.1495,8.96,,,0.025119542106644133,0.02
2011-11-23,11.1523,8.96,,,0.02511323377729635,0.02
2011-11-24,11.1551,8.97,,,0.0251069286156147,0.02
2011-11-25,11.1579,8.91,,,0.0251006266192233,0.02
2011-11-28,11.1662,8.97,,,0.07438675736473055,0.02
2011-11-29,11.1689,8.97,,,0.024180114989880153,0.02
2011-11-30,11.1717,8.98,,,0.025069612943062758,0.02
2011-12-01,11.1744,8.98,,,0.02416821074679998,0.02
2011-12-02,11.1767,8.94,,,0.020582760595644345,0.02
2011-12-05,11.184,8.99,,,0.0653144488086621,0.02
2011-12-07,11.1894,9.0,,,0.04828326180257303,0.02
2011-12-08,11.1921,9.01,,,0.02412998015979273,0.02
2011-12-09,11.1947,8.97,,,0.02323067163445547,0.02
2011-12-12,11.2024,9.02,,,0.06878254888476043,0.02
2011-12-13,11.2051,9.03,,,0.024101978147528236,0.02
2011-12-14,11.2082,9.04,,,0.02766597352990008,0.02
2011-12-15,11.2106,9.05,,,0.02141289413108982,0.02
2011-12-16,11.2134,9.02,,,0.024976361657724766,0.02
2011-12-19,11.2217,9.08,,,0.0740185849073427,0.02
